날짜,외국인
2020-01-02,-6391883778
2020-01-03,261757680802
2020-01-06,99398704169
2020-01-07,196010869917
2020-01-08,270909128787
2020-01-09,92556550883
2020-01-10,379233612459
2020-01-13,257986670414
2020-01-14,262864418901
2020-01-15,-86328577602
2020-01-16,-27012424280
2020-01-17,93443952998
2020-01-20,62729168568
2020-01-21,-205425996188
2020-01-22,-74900600219
2020-01-23,-137937417248
2020-01-28,-526214695789
2020-01-29,99963303563
2020-01-30,-280231299607
2020-01-31,-427690959157
2020-02-03,-307076010030
2020-02-04,487612049507
2020-02-05,457809441014
2020-02-06,158555018967
2020-02-07,22272335098
2020-02-10,-303947122626
2020-02-11,-93433418292
2020-02-12,-216327715372
2020-02-13,279485544773
2020-02-14,94529852785
2020-02-17,-228711402575
2020-02-18,-306852843983
2020-02-19,-221183866315
2020-02-20,110712822732
2020-02-21,214995011221
2020-02-24,-786023172934
2020-02-25,-769582446524
2020-02-26,-876221534888
2020-02-27,-398524335554
2020-02-28,-631246859554
2020-03-02,-783180304860
2020-03-03,-312302636881
2020-03-04,153352372487
2020-03-05,-147287713072
2020-03-06,-564065657641
2020-03-09,-1312507218705
2020-03-10,-987610887688
2020-03-11,-687922945009
2020-03-12,-890957142333
2020-03-13,-1165010706878
2020-03-16,-681419045089
2020-03-17,-1003035679049
2020-03-18,-510582612451
2020-03-19,-617883907681
2020-03-20,-584407864262
2020-03-23,-642774449348
2020-03-24,-81807514174
2020-03-25,-326186808213
2020-03-26,-535002821787
2020-03-27,-375093409108
2020-03-30,-427248744804
2020-03-31,-72074024322
2020-04-01,-578244843488
2020-04-02,-623446682449
2020-04-03,-290133442069
2020-04-06,-197325605025
2020-04-07,-196938614652
2020-04-08,-136032562874
2020-04-09,-180553212592
2020-04-10,-56201122308
2020-04-13,-295438633496
2020-04-14,-29994123106
2020-04-16,-567700298055
2020-04-17,322903439276
2020-04-20,-493543260942
2020-04-21,-529643277363
2020-04-22,-36652823747
2020-04-23,-106322304169
2020-04-24,-232198807780
2020-04-27,19244672454
2020-04-28,-126775463702
2020-04-29,234917802726
2020-05-04,-946253810916
2020-05-06,-319053664162
2020-05-07,-312643327613
2020-05-08,46810205698
2020-05-11,-174575245414
2020-05-12,-311050976005
2020-05-13,-320674967223
2020-05-14,-554105538294
2020-05-15,-472223764102
2020-05-18,-86409415933
2020-05-19,370668256547
2020-05-20,80815574782
2020-05-21,73586144503
2020-05-22,-476771623017
2020-05-25,-140687333165
2020-05-26,14418388393
2020-05-27,-217565567417
2020-05-28,60915586763
2020-05-29,-198993211679
2020-06-01,108941332384
2020-06-02,-50192869484
2020-06-03,210247249299
2020-06-04,46544353190
2020-06-05,-72024210052
2020-06-08,11422555312
2020-06-09,-23090818932
2020-06-10,-47690787195
2020-06-11,-120575523886
2020-06-12,-262313343270
2020-06-15,-478577899826
2020-06-16,108059850746
2020-06-17,-53067864135
2020-06-18,-162186428316
2020-06-19,46825859267
2020-06-22,-251991426265
2020-06-23,-54739797151
2020-06-24,351591847639
2020-06-25,-280237664239
2020-06-26,60234239249
2020-06-29,-232750700615
2020-06-30,-73253070581
2020-07-01,-163697466475
2020-07-02,-17090119320
2020-07-03,14807227951
2020-07-06,-261651181570
2020-07-07,-385930013451
2020-07-08,-339938816036
2020-07-09,6473537500
2020-07-10,-347575395140
2020-07-13,105347629900
2020-07-14,7106230153
2020-07-15,274253941884
2020-07-16,-132218803387
2020-07-17,116743952277
2020-07-20,-73922780730
