날짜,한도소진률
2020-01-02,38.7
2020-01-03,38.7
2020-01-06,38.72
2020-01-07,38.75
2020-01-08,38.78
2020-01-09,38.8
2020-01-10,38.75
2020-01-13,38.8
2020-01-14,38.8
2020-01-15,38.84
2020-01-16,38.88
2020-01-17,38.9
2020-01-20,38.94
2020-01-21,38.97
2020-01-22,39.03
2020-01-23,39.06
2020-01-28,39.06
2020-01-29,39.06
2020-01-30,39.1
2020-01-31,39.12
2020-02-03,39.1
2020-02-04,39.06
2020-02-05,39.1
2020-02-06,39.12
2020-02-07,39.16
2020-02-10,39.2
2020-02-11,39.22
2020-02-12,39.2
2020-02-13,39.22
2020-02-14,39.22
2020-02-17,39.2
2020-02-18,39.2
2020-02-19,39.2
2020-02-20,39.16
2020-02-21,39.2
2020-02-24,39.16
2020-02-25,39.06
2020-02-26,39.0
2020-02-27,38.94
2020-02-28,38.9
2020-03-02,38.8
2020-03-03,38.75
2020-03-04,38.72
2020-03-05,38.72
2020-03-06,38.72
2020-03-09,38.6
2020-03-10,38.5
2020-03-11,38.4
2020-03-12,38.4
2020-03-13,38.34
2020-03-16,38.25
2020-03-17,38.22
2020-03-18,38.16
2020-03-19,38.12
2020-03-20,38.03
2020-03-23,37.97
2020-03-24,37.94
2020-03-25,37.88
2020-03-26,37.84
2020-03-27,37.7
2020-03-30,37.66
2020-03-31,37.62
2020-04-01,37.6
2020-04-02,37.5
2020-04-03,37.47
2020-04-06,37.4
2020-04-07,37.38
2020-04-08,37.3
2020-04-09,37.25
2020-04-10,37.25
2020-04-13,37.22
2020-04-14,37.2
2020-04-16,37.16
2020-04-17,37.06
2020-04-20,37.06
2020-04-21,37.03
2020-04-22,36.94
2020-04-23,36.88
2020-04-24,36.84
2020-04-27,36.84
2020-04-28,36.8
2020-04-29,36.84
2020-05-04,36.9
2020-05-06,36.8
2020-05-07,36.75
2020-05-08,36.7
2020-05-11,36.72
2020-05-12,36.66
2020-05-13,36.66
2020-05-14,36.6
2020-05-15,36.5
2020-05-18,36.44
2020-05-19,36.38
2020-05-20,36.4
2020-05-21,36.44
2020-05-22,36.5
2020-05-25,36.44
2020-05-26,36.44
2020-05-27,36.53
