날짜,기관
2020-01-02,-540070217257
2020-01-03,-523884136250
2020-01-06,-320930439081
2020-01-07,-45333442471
2020-01-08,-239966871800
2020-01-09,-285057625521
2020-01-10,-363504743048
2020-01-13,-214789003582
2020-01-14,-428174844001
2020-01-15,-243649451517
2020-01-16,-209922500375
2020-01-17,-296659909335
2020-01-20,-27825198443
2020-01-21,-185315141286
2020-01-22,288502898518
2020-01-23,-479548069609
2020-01-28,-189417830401
2020-01-29,-497605225625
2020-01-30,-442725449395
2020-01-31,171695852050
2020-02-03,169772629693
2020-02-04,-701979533792
2020-02-05,-908236738398
2020-02-06,516701364159
2020-02-07,-465953015383
2020-02-10,-165011544660
2020-02-11,318224132603
2020-02-12,148865995776
2020-02-13,-327778851315
2020-02-14,-108624919521
2020-02-17,13904907787
2020-02-18,-528133639236
2020-02-19,-11774216778
2020-02-20,-335584793568
2020-02-21,-535037459553
2020-02-24,191646718659
2020-02-25,113510820173
2020-02-26,23675319787
2020-02-27,-1914523969
2020-02-28,357636810087
2020-03-02,270296243288
2020-03-03,-447359374407
2020-03-04,-170616011356
2020-03-05,-201549628502
2020-03-06,-262500898512
2020-03-09,-46335792397
2020-03-10,611280071388
2020-03-11,-483799928785
2020-03-12,275640021606
2020-03-13,584791380198
2020-03-16,-346529372751
2020-03-17,350227711377
2020-03-18,-514527352306
2020-03-19,289838355556
2020-03-20,311587391119
2020-03-23,-361146803853
2020-03-24,502449933822
2020-03-25,-94818297972
2020-03-26,-213791263604
2020-03-27,130034446865
2020-03-30,223597316312
2020-03-31,-290122645991
2020-04-01,-619914062375
2020-04-02,359902579736
2020-04-03,-83304988529
2020-04-06,1036094436023
2020-04-07,32868874331
2020-04-08,-281952392785
2020-04-09,-129566342887
2020-04-10,-205919589435
2020-04-13,-457552761800
2020-04-14,467937939436
2020-04-16,136273588590
2020-04-17,235638255679
2020-04-20,-484863639611
2020-04-21,-190382282106
2020-04-22,-309839955445
2020-04-23,100017962439
2020-04-24,-423055701164
2020-04-27,527880882011
2020-04-28,23895898352
2020-04-29,252151126667
2020-05-04,-805982640812
2020-05-06,309038420939
2020-05-07,56497946828
2020-05-08,170472078580
2020-05-11,-363129748429
2020-05-12,-298521194203
2020-05-13,93516742613
2020-05-14,-237226578946
2020-05-15,242606937006
2020-05-18,33911282638
2020-05-19,843178638796
2020-05-20,98142343800
2020-05-21,-388235061502
2020-05-22,-448465596460
2020-05-25,34701699149
2020-05-26,341681140079
2020-05-27,-72720682430
2020-05-28,222516423273
2020-05-29,-20124781263
2020-06-01,325037466260
2020-06-02,35037735414
2020-06-03,1134481952076
2020-06-04,297823889364
2020-06-05,405383021872
2020-06-08,-371614214904
2020-06-09,-399875881523
2020-06-10,215755738855
2020-06-11,-1184385324203
2020-06-12,-286221125269
