날짜,금융투자,보험,투신,사모,은행,기타금융,연기금,기타법인,개인,외국인,기타외국인,전체
2020-01-02,-414550372507,-2712301502,-42403958083,4310216747,2248794095,3456148977,-90418744984,14009090614,530457526563,-6391883778,1995483858,0
2020-01-03,-571402680881,-10336355244,44146942680,5276452010,1892849465,3818252764,2720402956,-12179421385,273766831774,261757680802,539045059,0
2020-01-06,-278947483194,-2971814824,-16188262433,-12260095160,-776816550,1778451573,-11564418493,-14503849716,236319242074,99398704169,-283657446,0
2020-01-07,-23423154912,-11139025653,7541149361,23834304480,234806905,27134000,-42408656652,17848264618,-167845195241,196010869917,-680496823,0
2020-01-08,-340686523970,46927842680,3189202770,32735843188,-906126900,-121234840,18894125272,-9275929158,-19155466877,270909128787,-2510860952,0
2020-01-09,-155580854453,12462680879,-24043064620,25702765897,-22950009195,-736901875,-119912242154,1885363653,192325767608,92556550883,-1710056623,0
2020-01-10,-387450052111,-6669449553,-13920426506,1373365978,-3524649715,2539345421,44147123438,8196591669,-23192648206,379233612459,-732812874,0
2020-01-13,-174111994976,-13473636974,-27321377355,14034626970,191734300,-49448270,-14058907277,6469775262,-49085857143,257986670414,-581584951,0
2020-01-14,-311135916649,-37111360482,-33675712177,-26105889335,181214400,-898136303,-19429043455,30544575578,133620161831,262864418901,1145687691,0
2020-01-15,-152033945584,-1213125587,-61025658770,-52580140389,-4375823010,-5473874100,33053115923,12969576659,315550911285,-86328577602,1457541175,0
2020-01-16,-192180117278,-13791178862,-37352592327,-8898484635,-1714631950,4681480002,39333024675,12218166545,223466949496,-27012424280,1249808614,0
2020-01-17,-208680536802,-34911124977,-38843346029,-68759006,1488077500,5712260015,-21356480036,15780766777,186067120685,93443952998,1368068875,0
2020-01-20,-56149453969,-13720265880,-90837815446,15508118647,50752388260,3885083153,62736746792,19026812177,-54680450089,62729168568,749667787,0
2020-01-21,-12963512594,-22342657305,-67179926874,-22823327326,3555594255,-1565080300,-61996231142,29582482280,360516680460,-205425996188,641974734,0
2020-01-22,240789228304,10813146359,10744440702,-20856663687,5840363530,1789068015,39383315295,3174452321,-218208500336,-74900600219,1431749716,0
2020-01-23,-359633650490,-13001866913,-26449985541,-21059430485,1798869690,3447112945,-64649118815,31587882970,581324527923,-137937417248,4573075964,0
2020-01-28,133178791672,-52242152519,-151432144533,-104329622961,1274171305,1362369715,-17229243080,47013888043,667155598342,-526214695789,1463039805,0
2020-01-29,-578184760426,33227993909,6117714648,-10247240562,6367759076,-2577516410,47690824140,23763198430,372657488045,99963303563,1221235587,0
2020-01-30,-345098528530,14046785031,-49185428130,-68599423155,-2519864470,-1107931715,9738941574,58256655353,663228163087,-280231299607,1471930562,0
2020-01-31,-33142278087,22253887740,22207760270,-14035943153,-2516881924,-3225856923,180155164127,-25427518064,278755703131,-427690959157,2666922040,0
2020-02-03,54754977721,20931024874,32560866030,23649372650,1406374682,-3864115455,40334129191,20146129032,118014240745,-307076010030,-856989440,0
2020-02-04,-759540165246,12778084441,2123222344,70902574912,-9912948845,14202675985,-32532977383,13081499435,202618717290,487612049507,-1332732440,0
2020-02-05,-894385400034,5370077917,32992050198,-54424617816,641661395,516504292,1052985650,13992610626,434095962473,457809441014,2338724285,0
2020-02-06,219381596707,27946529790,12135087772,51862253450,3034519825,1166436355,201174940260,18956173717,-688055011816,158555018967,-6157545027,0
2020-02-07,-322423667899,-3198600220,-10648155830,-29843611574,3814292820,-751123805,-102902148875,49106487631,391603567804,22272335098,2970624850,0
2020-02-10,-152850324915,-9439333305,1786915500,-30166269270,3373302160,1334284425,20949880745,33188934364,435455100181,-303947122626,314632741,0
